ts,account_no,direction,amount,balance_after
2025-08-31 13:22:20.007940,V000141,IN,367594.12,367594.12
2025-08-31 13:29:32.007940,V000023,IN,479420.33,479420.33
2025-08-31 13:36:44.007940,V000149,OUT,214308.01,0.0
2025-08-31 13:43:56.007940,V000113,IN,586865.07,586865.07
2025-08-31 13:51:08.007940,V000061,IN,89255.38,89255.38
2025-08-31 13:58:20.007940,V000025,OUT,483875.87,0.0
2025-08-31 14:05:32.007940,V000015,IN,347696.53,347696.53
2025-08-31 14:12:44.007940,V000117,IN,554835.62,554835.62
2025-08-31 14:19:56.007940,V000038,OUT,131111.93,0.0
2025-08-31 14:27:08.007940,V000118,IN,744388.22,744388.22
2025-08-31 14:34:20.007940,V000069,IN,378780.31,378780.31
2025-08-31 14:41:32.007940,V000074,OUT,565724.19,0.0
2025-08-31 14:48:44.007940,V000090,IN,10932.8,10932.8
2025-08-31 14:55:56.007940,V000029,IN,394022.48,394022.48
2025-08-31 15:03:08.007940,V000070,IN,183215.94,183215.94
2025-08-31 15:10:20.007940,V000176,OUT,434186.38,0.0
2025-08-31 15:17:32.007940,V000142,OUT,428476.04,0.0
2025-08-31 15:24:44.007940,V000093,IN,533225.8,533225.8
2025-08-31 15:31:56.007940,V000023,OUT,312497.88,166922.45
2025-08-31 15:39:08.007940,V000027,OUT,196312.5,0.0
2025-08-31 15:46:20.007940,V000092,IN,355857.39,355857.39
2025-08-31 15:53:32.007940,V000072,OUT,644880.76,0.0
2025-08-31 16:00:44.007940,V000019,OUT,46922.0,0.0
2025-08-31 16:07:56.007940,V000150,OUT,111660.46,0.0
2025-08-31 16:15:08.007940,V000053,OUT,585427.89,0.0
2025-08-31 16:22:20.007940,V000115,IN,685230.94,685230.94
2025-08-31 16:29:32.007940,V000175,OUT,118729.74,0.0
2025-08-31 16:36:44.007940,V000011,IN,153167.07,153167.07
2025-08-31 16:43:56.007940,V000102,IN,408745.43,408745.43
2025-08-31 16:51:08.007940,V000161,IN,121930.91,121930.91
2025-08-31 16:58:20.007940,V000138,IN,735946.06,735946.06
2025-08-31 17:05:32.007940,V000141,IN,640204.62,1007798.74
2025-08-31 17:12:44.007940,V000131,IN,51835.04,51835.04
2025-08-31 17:19:56.007940,V000158,OUT,171297.6,0.0
2025-08-31 17:27:08.007940,V000027,OUT,114806.17,0.0
2025-08-31 17:34:20.007940,V000064,IN,12100.24,12100.24
2025-08-31 17:41:32.007940,V000033,IN,118630.56,118630.56
2025-08-31 17:48:44.007940,V000053,OUT,48384.89,0.0
2025-08-31 17:55:56.007940,V000125,IN,445365.56,445365.56
2025-08-31 18:03:08.007940,V000028,OUT,500244.54,0.0
2025-08-31 18:10:20.007940,V000200,IN,23186.88,23186.88
2025-08-31 18:17:32.007940,V000131,IN,420523.09,472358.13
2025-08-31 18:24:44.007940,V000128,OUT,263567.64,0.0
2025-08-31 18:31:56.007940,V000014,IN,444244.17,444244.17
2025-08-31 18:39:08.007940,V000190,OUT,127620.98,0.0
2025-08-31 18:46:20.007940,V000059,IN,76194.22,76194.22
2025-08-31 18:53:32.007940,V000115,OUT,426249.14,258981.79999999993
2025-08-31 19:00:44.007940,V000114,IN,374951.34,374951.34
2025-08-31 19:07:56.007940,V000104,IN,10619.75,10619.75
2025-08-31 19:15:08.007940,V000132,IN,28649.11,28649.11
2025-08-31 19:22:20.007940,V000028,OUT,502593.14,0.0
2025-08-31 19:29:32.007940,V000166,OUT,456451.25,0.0
2025-08-31 19:36:44.007940,V000191,OUT,315390.97,0.0
2025-08-31 19:43:56.007940,V000072,OUT,664745.59,0.0
2025-08-31 19:51:08.007940,V000023,OUT,645100.29,0.0
2025-08-31 19:58:20.007940,V000031,OUT,795999.52,0.0
2025-08-31 20:05:32.007940,V000049,IN,56407.53,56407.53
